"Timestamp","เพศ","ช่วงอายุ","แนวเกม","เกมที่เล่น #1","เกมที่เล่น #2","Platform ที่เล่นบ่อยที่สุด"
"2018/11/13 11:00:12 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure","PUBG","R6","Mobile"
"2018/11/13 11:06:39 AM GMT+7","ชาย","16 - 22ปี","Action","Pubg","Fornite","PC"
"2018/11/13 11:23:25 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Other","PUBG","Final Fantasy XV","PC"
"2018/11/13 11:31:39 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;RPG;Racing;Puzzle;Sports","Overwatch","Cs:go","PC"
"2018/11/13 11:57:48 AM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Sports;Music;Other","League of Legends","The Sims","PC"
"2018/11/13 12:03:55 PM GMT+7","ชาย","16 - 22ปี","Action;Arcade;Card;RPG;Racing","LoL","Ragnarok","PC"
"2018/11/13 12:10:16 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Arcade;RPG;Puzzle;Music","Stardew valley","Don't starve","PC"
"2018/11/13 12:36:10 PM GMT+7","ชาย","23 - 29ปี","Action;Adventure;RPG;Music;Other","League of Legends","Ragnarok","PC"
"2018/11/13 12:50:23 PM GMT+7","ชาย","23 - 29ปี","Action;Adventure;Puzzle","Dying Light","Trove","PC"
"2018/11/13 1:10:30 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Sports;Music;MOBA","Overwatch","Pro evolution soccer 2018","PC"
"2018/11/13 1:16:51 PM GMT+7","ชาย","16 - 22ปี","MOBA","HON","ROV","PC"
"2018/11/13 1:19:32 PM GMT+7","หญิง","16 - 22ปี","Action","pubG","ROV","Mobile"
"2018/11/13 1:21:22 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Sports;Music;MOBA","Csgo","GTA V","PC"
"2018/11/13 1:21:50 PM GMT+7","หญิง","16 - 22ปี","Action;Puzzle;Sports;Music","Rov","Hon","Mobile"
"2018/11/13 1:27:05 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;MOBA","Rov","Pubg","Mobile"
"2018/11/13 1:28:39 PM GMT+7","หญิง","16 - 22ปี","Adventure;MOBA","ROV","PUPG","Mobile"
